Title$Item Title & Copyright Info
liv_000095_copyright_information.txt$Livingstone, David, 1813-1873. Fragment of 1871 Field Diary (CII-CLXIII), 23 March 1871-11 August 1871. Copyright David Livingstone Centre, Blantyre. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_000207_copyright_information.txt$Livingstone, David, 1813-1873. Fragment of 1870 Field Diary (LXX-LXXV), 12-23 December 1870. Images copyright National Library of Scotland. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_000208_copyright_information.txt$Livingstone, David, 1813-1873. Fragment of 1870 Field Diary (LXXVI-[LXXVII]), 16 January 1871. Copyright David Livingstone Centre, Blantyre. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_000209_copyright_information.txt$Livingstone, David, 1813-1873. Fragment of 1870 Field Diary (LXXVIII-LXXXVII), 24 January-19 February 1871. Images copyright National Library of Scotland. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_000210_copyright_information.txt$Livingstone, David, 1813-1873. Fragment of 1870 Field Diary (LXXXVIII-CI), 21 February-2 March 1871. Images copyright National Library of Scotland. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_000211_copyright_information.txt$Livingstone, David, 1813-1873. Retrospect to be Inserted in the Journal, 10 March 1870. Images copyright National Library of Scotland. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_000212_copyright_information.txt$Livingstone, David, 1813-1873. Transcription of Fragment of 1870 Field Diary, 25 August-8 October 1870. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_000213_copyright_information.txt$Livingstone, David, 1813-1873. Transcription of Fragment of 1870 Field Diary, 16 October 1870. Images copyright The Bodleian Library, University of Oxford. Used by permission. As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_002564_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Horace Waller, 5 February 1871. Images copyright Peter and Nejma Beard. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). 
liv_002568_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 13 February 1871. Images copyright National Library of Scotland. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_002569_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 25 March 1871. Images copyright National Library of Scotland. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_002570_copyright_information.txt$Livingstone, David, 1813-1873. Letter to Agnes Livingstone 3, March 1871. Images copyright National Library of Scotland. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_002571_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 14 May 1871. Images copyright National Library of Scotland. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
liv_002572_copyright_information.txt$Livingstone, David, 1813-1873. Letter to John Kirk 2, 26 June 1871. Images copyright National Library of Scotland. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/). As relevant, copyright Dr. Neil Imray Livingstone Wilson. Creative Commons Attribution-NonCommercial 3.0 Unported (https://creativecommons.org/licenses/by-nc/3.0/).
